sim_id,z,tier,payout_per_ha,total_claims_php,loss_ratio
2738,-0.2793710358379608,none,0,0,0
2739,1.5642097492225573,none,0,0,0
2740,0.09109360956857497,none,0,0,0
2741,-0.4621879810245415,none,0,0,0
2742,-0.45043875182790416,none,0,0,0
2743,0.07309661541079311,none,0,0,0
2744,0.13135300902861088,none,0,0,0
2745,1.345636398892395,none,0,0,0
2746,-0.4233614720723419,none,0,0,0
2747,0.9769422837680216,none,0,0,0
2748,-0.6309804050454003,none,0,0,0
2749,0.21975118100100693,none,0,0,0
2750,-0.34567248509122384,none,0,0,0
2751,1.0059050442053015,none,0,0,0
2752,1.397315799667279,none,0,0,0
2753,1.535361080753238,none,0,0,0
2754,0.6845282475523682,none,0,0,0
2755,-0.5053525663517584,none,0,0,0
2756,-0.1242330921277894,none,0,0,0
2757,0.3013347451788265,none,0,0,0
2758,-2.0873671468412422,moderate,36000,360000000,2.226345083487941
2759,1.4203970626931013,none,0,0,0
2760,-1.0689793473192069,mild,18000,180000000,1.1131725417439704
2761,-0.45935189700214163,none,0,0,0
2762,1.331666109549182,none,0,0,0
2763,0.4097762776977447,none,0,0,0
2764,0.4723365042210152,none,0,0,0
2765,-0.7496986293269917,none,0,0,0
2766,-1.6016915640243234,moderate,36000,360000000,2.226345083487941
2767,-0.7914473255803031,none,0,0,0
2768,0.5020105476403128,none,0,0,0
2769,0.7171952705209376,none,0,0,0
2770,0.04335519061690975,none,0,0,0
2771,-0.39414434644417395,none,0,0,0
2772,0.3800048254079653,none,0,0,0
2773,-0.6224279525715251,none,0,0,0
2774,0.5113872060073908,none,0,0,0
2775,-1.1013730566319415,mild,18000,180000000,1.1131725417439704
2776,1.8614155995674755,none,0,0,0
2777,-2.704989122384342,severe,60000,600000000,3.7105751391465676
2778,1.4179378163675183,none,0,0,0
2779,-0.6553094981160057,none,0,0,0
2780,1.2522830474221742,none,0,0,0
2781,-1.4602874321733303,mild,18000,180000000,1.1131725417439704
2782,-0.33073487679333924,none,0,0,0
2783,0.21081779052698893,none,0,0,0
2784,-1.0094992642222418,mild,18000,180000000,1.1131725417439704
2785,-0.5347766461710615,none,0,0,0
2786,0.4950582748859405,none,0,0,0
2787,0.5484940497821421,none,0,0,0
2788,-1.2277426142189487,mild,18000,180000000,1.1131725417439704
2789,-1.006612644360467,mild,18000,180000000,1.1131725417439704
2790,0.20716720160983793,none,0,0,0
2791,1.4174011803391442,none,0,0,0
2792,0.7470893965552553,none,0,0,0
2793,-1.5194330723485252,moderate,36000,360000000,2.226345083487941
2794,-0.7200707393243166,none,0,0,0
2795,-1.8382120343961346,moderate,36000,360000000,2.226345083487941
2796,0.7843958643529927,none,0,0,0
2797,-0.871052149527092,none,0,0,0
2798,-0.010866313016531676,none,0,0,0
2799,0.6091415582157588,none,0,0,0
2800,-0.13305164805877343,none,0,0,0
2801,-0.8495310628800632,none,0,0,0
2802,0.11513872517422583,none,0,0,0
2803,-1.3313371540120031,mild,18000,180000000,1.1131725417439704
2804,2.3744582717316915,none,0,0,0
2805,-2.4958364173116694,moderate,36000,360000000,2.226345083487941
2806,2.203676154061884,none,0,0,0
2807,0.5713969270691727,none,0,0,0
2808,-0.5837452372189355,none,0,0,0
2809,0.27486035762241756,none,0,0,0
2810,-0.048289195961015795,none,0,0,0
2811,2.252468641777242,none,0,0,0
2812,2.207982222184056,none,0,0,0
2813,0.766845014645972,none,0,0,0
2814,-0.2841917437928783,none,0,0,0
2815,0.15164529254135267,none,0,0,0
2816,-0.7811060866430394,none,0,0,0
2817,-0.9573983632473241,none,0,0,0
2818,-0.30434111795109037,none,0,0,0
2819,1.5308786534035956,none,0,0,0
2820,-0.4783059366446916,none,0,0,0
2821,0.2759642885259168,none,0,0,0
2822,1.292779855935157,none,0,0,0
2823,0.42401070658077394,none,0,0,0
2824,0.5277652537705838,none,0,0,0
2825,-0.6538299821435729,none,0,0,0
2826,0.1216755526739851,none,0,0,0
2827,-0.986863054729454,none,0,0,0
2828,-0.7555944622486074,none,0,0,0
2829,-1.1609899584400434,mild,18000,180000000,1.1131725417439704
2830,-0.44280152361957154,none,0,0,0
2831,0.334947784039575,none,0,0,0
2832,-0.10065856814522953,none,0,0,0
2833,-0.9755368429604969,none,0,0,0
2834,-0.9732166256210729,none,0,0,0
2835,-1.3407865264655272,mild,18000,180000000,1.1131725417439704
2836,0.4141024020544082,none,0,0,0
2837,0.2741624298250814,none,0,0,0
2838,-1.4139629505192515,mild,18000,180000000,1.1131725417439704
2839,-1.681930573189067,moderate,36000,360000000,2.226345083487941
2840,-0.07008611394911272,none,0,0,0
2841,-0.4603090292882991,none,0,0,0
2842,-1.2071457034774307,mild,18000,180000000,1.1131725417439704
2843,1.0404412181286007,none,0,0,0
2844,-0.06620501218587452,none,0,0,0
2845,-0.01985777853681342,none,0,0,0
2846,0.6155562233781346,none,0,0,0
2847,0.42038296991960106,none,0,0,0
2848,-0.32795487742718527,none,0,0,0
2849,-1.1344563021002025,mild,18000,180000000,1.1131725417439704
2850,1.1822683051167167,none,0,0,0
2851,-1.7107858033122023,moderate,36000,360000000,2.226345083487941
2852,1.3794490444046035,none,0,0,0
2853,-0.5410053291575281,none,0,0,0
2854,2.075466791733328,none,0,0,0
2855,-0.20476050301273968,none,0,0,0
2856,-0.5514169855203357,none,0,0,0
2857,0.041196866773196755,none,0,0,0
2858,1.3170476310257966,none,0,0,0
2859,-1.8096502034103812,moderate,36000,360000000,2.226345083487941
2860,-0.3079887946206693,none,0,0,0
2861,0.29456119458538715,none,0,0,0
2862,0.14777081711664708,none,0,0,0
2863,0.11595153197511188,none,0,0,0
2864,-0.32333184856327973,none,0,0,0
2865,-1.1403667238976078,mild,18000,180000000,1.1131725417439704
2866,2.8613194908631705,none,0,0,0
2867,-1.4513869448339674,mild,18000,180000000,1.1131725417439704
2868,0.9837440202199852,none,0,0,0
2869,-1.1078413270853178,mild,18000,180000000,1.1131725417439704
2870,-1.9988926568480303,moderate,36000,360000000,2.226345083487941
2871,0.15072249695782017,none,0,0,0
2872,2.1089680921934146,none,0,0,0
2873,0.6291906728363992,none,0,0,0
2874,-1.637645542159907,moderate,36000,360000000,2.226345083487941
2875,-0.6584757140173132,none,0,0,0
2876,-0.7503082659112837,none,0,0,0
2877,-1.1451318955245946,mild,18000,180000000,1.1131725417439704
2878,1.0276132769214983,none,0,0,0
2879,2.478040421831433,none,0,0,0
2880,-1.4533163643196036,mild,18000,180000000,1.1131725417439704
2881,0.8222644453618287,none,0,0,0
2882,-1.0664479936495288,mild,18000,180000000,1.1131725417439704
2883,1.0943067325148763,none,0,0,0
2884,0.22059618232935738,none,0,0,0
2885,-0.28323959053747905,none,0,0,0
2886,0.7100507534335612,none,0,0,0
2887,2.2104768664621086,none,0,0,0
2888,1.4120665756214201,none,0,0,0
2889,-0.19659808015222266,none,0,0,0
2890,0.7553845698195604,none,0,0,0
2891,-1.0941008701974555,mild,18000,180000000,1.1131725417439704
2892,0.43018002414614925,none,0,0,0
2893,0.9605497115832546,none,0,0,0
2894,0.4590595229043211,none,0,0,0
2895,-0.5964553945178245,none,0,0,0
2896,-0.04508620723874417,none,0,0,0
2897,-0.5815185947775762,none,0,0,0
2898,0.4428632371262019,none,0,0,0
2899,-0.31023068954381183,none,0,0,0
2900,-0.2228297680824888,none,0,0,0
2901,-0.6325867926920662,none,0,0,0
2902,1.0671901991519674,none,0,0,0
2903,0.337395921464703,none,0,0,0
2904,-0.9536456636545212,none,0,0,0
2905,0.2511735741369111,none,0,0,0
2906,-0.5481487035478331,none,0,0,0
2907,0.10323601760306464,none,0,0,0
2908,1.8660165051396715,none,0,0,0
2909,-1.0409938052851242,mild,18000,180000000,1.1131725417439704
2910,0.21998378712742367,none,0,0,0
2911,-1.42379490646875,mild,18000,180000000,1.1131725417439704
2912,0.6160174100303517,none,0,0,0
2913,-1.44156317991408,mild,18000,180000000,1.1131725417439704
2914,-1.7017648228539106,moderate,36000,360000000,2.226345083487941
2915,0.5572129578007651,none,0,0,0
2916,-0.7505111171278745,none,0,0,0
2917,-1.9709329457221387,moderate,36000,360000000,2.226345083487941
2918,-1.3244634509393323,mild,18000,180000000,1.1131725417439704
2919,1.0755328934993915,none,0,0,0
2920,0.17583509418501572,none,0,0,0
2921,0.207924799285704,none,0,0,0
2922,0.8932027658822005,none,0,0,0
2923,0.1986099166582628,none,0,0,0
2924,-3.181282564708926,severe,60000,600000000,3.7105751391465676
2925,0.019683194704236365,none,0,0,0
2926,-1.3941714047067693,mild,18000,180000000,1.1131725417439704
2927,-0.933235885173988,none,0,0,0
2928,-1.6290408814686725,moderate,36000,360000000,2.226345083487941
2929,0.36909763910945415,none,0,0,0
2930,2.2856563850298075,none,0,0,0
2931,0.48654486958177784,none,0,0,0
2932,1.932152220702593,none,0,0,0
2933,-0.23212902273206232,none,0,0,0
2934,-0.5374450566338849,none,0,0,0
2935,0.7861019033755484,none,0,0,0
2936,-1.2523729102248062,mild,18000,180000000,1.1131725417439704
2937,-1.3241649548346093,mild,18000,180000000,1.1131725417439704
2938,-2.968233173320634,severe,60000,600000000,3.7105751391465676
2939,-2.2257181771407084,moderate,36000,360000000,2.226345083487941
2940,-0.4416541724285676,none,0,0,0
2941,0.12464412848949595,none,0,0,0
2942,-0.349997232679237,none,0,0,0
2943,-1.9034993025208542,moderate,36000,360000000,2.226345083487941
2944,-1.1540443419650106,mild,18000,180000000,1.1131725417439704
2945,-0.78918347437427006,none,0,0,0
2946,0.8994022781939384,none,0,0,0
2947,0.316039999076679,none,0,0,0
