"sim_id","n_events","loss"
420,6,12935.5308147956
421,4,504.906739528539
422,6,154.789602585325
423,8,484.9941126089
424,4,134.046977091332
425,0,0
426,10,2774.58993750116
427,0,0
428,0,0
429,0,0
430,6,4550.10198364652
431,1,0.000588217584023793
432,3,25.2757317460761
433,11,4400.47353002913
434,5,51161.3045986163
435,0,0
436,7,42.6523878392161
437,0,0
438,0,0
439,7,2810.92014151935
440,0,0
441,0,0
442,1,2.27969161979766
443,0,0
444,6,528.937627896306
445,0,0
446,13,379.498394032089
447,0,0
448,0,0
449,13,152.295945396455
450,0,0
451,1,2.60592146694196
452,2,2229.42599598112
453,0,0
454,13,1198.06479200772
455,11,292.409288784444
456,3,59.2141619645333
457,1,10.5124061860429
458,5,2494.00382341623
459,5,311.615630067907
460,0,0
461,2,40.3491575289585
462,9,88.6524433831631
463,0,0
464,13,603.785920722735
465,0,0
466,7,221.374369091967
467,6,4.33885397715512
468,0,0
469,6,3.31327564690339
470,0,0
471,7,1296.22244166868
472,8,945.120612786916
473,0,0
474,0,0
475,8,236.089147645043
476,0,0
477,7,254.265745806021
478,2,1.62074596500482
479,13,3319.0050443562
480,0,0
481,7,281.756347206532
482,0,0
483,0,0
484,5,89.4693305788694
485,12,3269.90276970263
486,0,0
487,0,0
488,0,0
489,0,0
490,7,81.6339518425733
491,5,1.25945276822042
492,0,0
493,0,0
494,14,1832.62385856496
495,11,1088.14360327165
496,9,87.8816900585628
497,0,0
498,9,239.497525093708
499,0,0
500,0,0
501,1,3521.65743508257
502,15,134.055303041823
503,10,3853.26499505932
504,2,1939.54041336053
505,0,0
506,0,0
507,0,0
508,6,528.431580773581
509,0,0
510,13,231.085232792004
511,9,589.596116917041
512,0,0
513,0,0
514,0,0
515,9,74.6650572879003
516,5,56.7654735886788
517,0,0
518,0,0
519,0,0
520,0,0
521,9,776.677185825533
522,0,0
523,0,0
524,7,620.324449236168
525,4,62.0223627132153
526,0,0
527,0,0
528,0,0
529,3,249.93485446966
530,7,18.2314190191957
531,4,77.7165978269334
532,3,13.3331045767723
533,0,0
534,0,0
